,State,Year,Type_code,Type,Gender,Age_group,Total,Categories
13,A & N Islands,2001,Causes,Love Affairs,Female,0-14,1,Relation Troubles
20,A & N Islands,2001,Causes,Other Causes (Please Specity),Female,0-14,1,Others Causes
32,A & N Islands,2001,Causes,Other Prolonged Illness,Male,0-14,1,Sickness
47,A & N Islands,2001,Causes,Failure in Examination,Male,0-14,1,Pressures of Society
54,A & N Islands,2001,Causes,Other Prolonged Illness,Female,15-29,8,Sickness
55,A & N Islands,2001,Causes,Causes Not known,Female,15-29,8,Causes Not known
63,A & N Islands,2001,Causes,Other Causes (Please Specity),Female,15-29,6,Others Causes
69,A & N Islands,2001,Causes,Family Problems,Female,15-29,5,Relation Troubles
72,A & N Islands,2001,Causes,Failure in Examination,Female,15-29,2,Pressures of Society
77,A & N Islands,2001,Causes,Insanity/Mental Illness,Female,15-29,2,Sickness
80,A & N Islands,2001,Causes,Other Causes (Please Specity),Male,15-29,4,Others Causes
81,A & N Islands,2001,Causes,Other Prolonged Illness,Male,15-29,3,Sickness
88,A & N Islands,2001,Causes,Family Problems,Male,15-29,3,Relation Troubles
89,A & N Islands,2001,Causes,Love Affairs,Male,15-29,3,Relation Troubles
90,A & N Islands,2001,Causes,Insanity/Mental Illness,Male,15-29,2,Sickness
100,A & N Islands,2001,Causes,Failure in Examination,Male,15-29,1,Pressures of Society
103,A & N Islands,2001,Causes,Causes Not known,Male,15-29,9,Causes Not known
108,A & N Islands,2001,Causes,Other Prolonged Illness,Female,30-44,3,Sickness
113,A & N Islands,2001,Causes,Causes Not known,Female,30-44,2,Causes Not known
114,A & N Islands,2001,Causes,Death of Dear Person,Female,30-44,1,Relation Troubles
126,A & N Islands,2001,Causes,Other Causes (Please Specity),Female,30-44,1,Others Causes
127,A & N Islands,2001,Causes,Insanity/Mental Illness,Female,30-44,2,Sickness
132,A & N Islands,2001,Causes,Insanity/Mental Illness,Male,30-44,3,Sickness
138,A & N Islands,2001,Causes,Causes Not known,Male,30-44,8,Causes Not known
145,A & N Islands,2001,Causes,Other Prolonged Illness,Male,30-44,6,Sickness
152,A & N Islands,2001,Causes,Family Problems,Male,30-44,4,Relation Troubles
153,A & N Islands,2001,Causes,Other Causes (Please Specity),Male,30-44,2,Others Causes
159,A & N Islands,2001,Causes,Family Problems,Female,45-59,2,Relation Troubles
162,A & N Islands,2001,Causes,Causes Not known,Female,45-59,1,Causes Not known
175,A & N Islands,2001,Causes,Other Prolonged Illness,Female,45-59,2,Sickness
192,A & N Islands,2001,Causes,Causes Not known,Male,45-59,10,Causes Not known
193,A & N Islands,2001,Causes,Family Problems,Male,45-59,3,Relation Troubles
194,A & N Islands,2001,Causes,Insanity/Mental Illness,Male,45-59,3,Sickness
197,A & N Islands,2001,Causes,Other Causes (Please Specity),Male,45-59,1,Others Causes
202,A & N Islands,2001,Causes,Other Prolonged Illness,Male,45-59,4,Sickness
218,A & N Islands,2001,Causes,Insanity/Mental Illness,Female,60+,1,Sickness
220,A & N Islands,2001,Causes,Other Prolonged Illness,Female,60+,1,Sickness
224,A & N Islands,2001,Causes,Causes Not known,Female,60+,1,Causes Not known
246,A & N Islands,2001,Causes,Other Prolonged Illness,Male,60+,4,Sickness
250,A & N Islands,2001,Causes,Insanity/Mental Illness,Male,60+,1,Sickness
253,A & N Islands,2001,Causes,Family Problems,Male,60+,1,Relation Troubles
