,State,Year,Categories,Gender,Total
0,Andaman and Nicobar,2001,Causes Not known,Female,12
1,Andaman and Nicobar,2001,Causes Not known,Male,27
2,Andaman and Nicobar,2001,Others Causes,Female,8
3,Andaman and Nicobar,2001,Others Causes,Male,9
4,Andaman and Nicobar,2001,Pressures of Society,Female,2
5,Andaman and Nicobar,2001,Pressures of Society,Male,2
6,Andaman and Nicobar,2001,Relation Troubles,Female,9
7,Andaman and Nicobar,2001,Relation Troubles,Male,14
8,Andaman and Nicobar,2001,Sickness,Female,19
9,Andaman and Nicobar,2001,Sickness,Male,27
10,Andaman and Nicobar,2002,Causes Not known,Female,11
11,Andaman and Nicobar,2002,Causes Not known,Male,24
12,Andaman and Nicobar,2002,Financial issues,Male,1
13,Andaman and Nicobar,2002,Others Causes,Female,6
14,Andaman and Nicobar,2002,Others Causes,Male,15
15,Andaman and Nicobar,2002,Pressures of Society,Female,2
16,Andaman and Nicobar,2002,Pressures of Society,Male,1
17,Andaman and Nicobar,2002,Relation Troubles,Female,18
18,Andaman and Nicobar,2002,Relation Troubles,Male,17
19,Andaman and Nicobar,2002,Sickness,Female,16
20,Andaman and Nicobar,2002,Sickness,Male,33
21,Andaman and Nicobar,2003,Causes Not known,Female,7
22,Andaman and Nicobar,2003,Causes Not known,Male,13
23,Andaman and Nicobar,2003,Financial issues,Male,3
24,Andaman and Nicobar,2003,Others Causes,Female,5
25,Andaman and Nicobar,2003,Others Causes,Male,13
26,Andaman and Nicobar,2003,Pressures of Society,Female,1
27,Andaman and Nicobar,2003,Pressures of Society,Male,4
28,Andaman and Nicobar,2003,Relation Troubles,Female,17
29,Andaman and Nicobar,2003,Relation Troubles,Male,18
30,Andaman and Nicobar,2003,Sickness,Female,13
31,Andaman and Nicobar,2003,Sickness,Male,19
32,Andaman and Nicobar,2004,Causes Not known,Female,5
33,Andaman and Nicobar,2004,Causes Not known,Male,12
34,Andaman and Nicobar,2004,Financial issues,Female,5
35,Andaman and Nicobar,2004,Financial issues,Male,14
36,Andaman and Nicobar,2004,Others Causes,Female,2
37,Andaman and Nicobar,2004,Others Causes,Male,6
38,Andaman and Nicobar,2004,Pressures of Society,Female,2
39,Andaman and Nicobar,2004,Pressures of Society,Male,3
40,Andaman and Nicobar,2004,Relation Troubles,Female,11
41,Andaman and Nicobar,2004,Relation Troubles,Male,14
42,Andaman and Nicobar,2004,Sickness,Female,16
43,Andaman and Nicobar,2004,Sickness,Male,32
44,Andaman and Nicobar,2005,Causes Not known,Female,6
45,Andaman and Nicobar,2005,Causes Not known,Male,20
46,Andaman and Nicobar,2005,Financial issues,Female,1
47,Andaman and Nicobar,2005,Financial issues,Male,3
48,Andaman and Nicobar,2005,Others Causes,Female,19
49,Andaman and Nicobar,2005,Others Causes,Male,27
50,Andaman and Nicobar,2005,Pressures of Society,Female,3
51,Andaman and Nicobar,2005,Relation Troubles,Female,1
52,Andaman and Nicobar,2005,Relation Troubles,Male,6
53,Andaman and Nicobar,2005,Sickness,Female,23
54,Andaman and Nicobar,2005,Sickness,Male,30
