,State,Year,Categories,Age_group,Total
0,Andaman and Nicobar,2001,Causes Not known,15-29,17
1,Andaman and Nicobar,2001,Causes Not known,30-44,10
2,Andaman and Nicobar,2001,Causes Not known,45-59,11
3,Andaman and Nicobar,2001,Causes Not known,60+,1
4,Andaman and Nicobar,2001,Others Causes,0-14,1
5,Andaman and Nicobar,2001,Others Causes,15-29,10
6,Andaman and Nicobar,2001,Others Causes,30-44,3
7,Andaman and Nicobar,2001,Others Causes,45-59,1
8,Andaman and Nicobar,2001,Others Causes,60+,2
9,Andaman and Nicobar,2001,Pressures of Society,0-14,1
10,Andaman and Nicobar,2001,Pressures of Society,15-29,3
11,Andaman and Nicobar,2001,Relation Troubles,0-14,1
12,Andaman and Nicobar,2001,Relation Troubles,15-29,11
13,Andaman and Nicobar,2001,Relation Troubles,30-44,5
14,Andaman and Nicobar,2001,Relation Troubles,45-59,5
15,Andaman and Nicobar,2001,Relation Troubles,60+,1
16,Andaman and Nicobar,2001,Sickness,0-14,1
17,Andaman and Nicobar,2001,Sickness,15-29,15
18,Andaman and Nicobar,2001,Sickness,30-44,14
19,Andaman and Nicobar,2001,Sickness,45-59,9
20,Andaman and Nicobar,2001,Sickness,60+,7
21,Andaman and Nicobar,2002,Causes Not known,15-29,17
22,Andaman and Nicobar,2002,Causes Not known,30-44,11
23,Andaman and Nicobar,2002,Causes Not known,45-59,4
24,Andaman and Nicobar,2002,Causes Not known,60+,3
25,Andaman and Nicobar,2002,Financial issues,15-29,1
26,Andaman and Nicobar,2002,Others Causes,15-29,6
27,Andaman and Nicobar,2002,Others Causes,30-44,5
28,Andaman and Nicobar,2002,Others Causes,45-59,8
29,Andaman and Nicobar,2002,Others Causes,60+,2
30,Andaman and Nicobar,2002,Pressures of Society,0-14,2
31,Andaman and Nicobar,2002,Pressures of Society,15-29,1
32,Andaman and Nicobar,2002,Relation Troubles,0-14,2
33,Andaman and Nicobar,2002,Relation Troubles,15-29,19
34,Andaman and Nicobar,2002,Relation Troubles,30-44,8
35,Andaman and Nicobar,2002,Relation Troubles,45-59,5
36,Andaman and Nicobar,2002,Relation Troubles,60+,1
37,Andaman and Nicobar,2002,Sickness,15-29,11
38,Andaman and Nicobar,2002,Sickness,30-44,18
39,Andaman and Nicobar,2002,Sickness,45-59,10
40,Andaman and Nicobar,2002,Sickness,60+,10
41,Andaman and Nicobar,2003,Causes Not known,0-14,1
42,Andaman and Nicobar,2003,Causes Not known,15-29,8
43,Andaman and Nicobar,2003,Causes Not known,30-44,4
44,Andaman and Nicobar,2003,Causes Not known,45-59,5
45,Andaman and Nicobar,2003,Causes Not known,60+,2
46,Andaman and Nicobar,2003,Financial issues,15-29,1
47,Andaman and Nicobar,2003,Financial issues,30-44,2
48,Andaman and Nicobar,2003,Others Causes,0-14,1
49,Andaman and Nicobar,2003,Others Causes,15-29,7
50,Andaman and Nicobar,2003,Others Causes,30-44,7
51,Andaman and Nicobar,2003,Others Causes,45-59,2
52,Andaman and Nicobar,2003,Others Causes,60+,1
53,Andaman and Nicobar,2003,Pressures of Society,0-14,1
54,Andaman and Nicobar,2003,Pressures of Society,15-29,2
55,Andaman and Nicobar,2003,Pressures of Society,30-44,2
56,Andaman and Nicobar,2003,Relation Troubles,0-14,2
57,Andaman and Nicobar,2003,Relation Troubles,15-29,25
58,Andaman and Nicobar,2003,Relation Troubles,30-44,6
59,Andaman and Nicobar,2003,Relation Troubles,45-59,1
60,Andaman and Nicobar,2003,Relation Troubles,60+,1
61,Andaman and Nicobar,2003,Sickness,15-29,8
62,Andaman and Nicobar,2003,Sickness,30-44,10
63,Andaman and Nicobar,2003,Sickness,45-59,11
64,Andaman and Nicobar,2003,Sickness,60+,3
65,Andaman and Nicobar,2004,Causes Not known,15-29,10
66,Andaman and Nicobar,2004,Causes Not known,30-44,4
67,Andaman and Nicobar,2004,Causes Not known,45-59,2
68,Andaman and Nicobar,2004,Causes Not known,60+,1
69,Andaman and Nicobar,2004,Financial issues,15-29,15
70,Andaman and Nicobar,2004,Financial issues,30-44,1
71,Andaman and Nicobar,2004,Financial issues,45-59,2
72,Andaman and Nicobar,2004,Financial issues,60+,1
73,Andaman and Nicobar,2004,Others Causes,15-29,1
74,Andaman and Nicobar,2004,Others Causes,30-44,6
75,Andaman and Nicobar,2004,Others Causes,60+,1
76,Andaman and Nicobar,2004,Pressures of Society,15-29,5
77,Andaman and Nicobar,2004,Relation Troubles,0-14,1
78,Andaman and Nicobar,2004,Relation Troubles,15-29,13
79,Andaman and Nicobar,2004,Relation Troubles,30-44,9
80,Andaman and Nicobar,2004,Relation Troubles,45-59,2
81,Andaman and Nicobar,2004,Sickness,15-29,13
82,Andaman and Nicobar,2004,Sickness,30-44,17
83,Andaman and Nicobar,2004,Sickness,45-59,11
84,Andaman and Nicobar,2004,Sickness,60+,7
85,Andaman and Nicobar,2005,Causes Not known,0-14,1
86,Andaman and Nicobar,2005,Causes Not known,15-29,9
87,Andaman and Nicobar,2005,Causes Not known,30-44,3
88,Andaman and Nicobar,2005,Causes Not known,45-59,11
89,Andaman and Nicobar,2005,Causes Not known,60+,2
90,Andaman and Nicobar,2005,Financial issues,30-44,2
91,Andaman and Nicobar,2005,Financial issues,45-59,2
92,Andaman and Nicobar,2005,Others Causes,0-14,6
93,Andaman and Nicobar,2005,Others Causes,15-29,18
94,Andaman and Nicobar,2005,Others Causes,30-44,12
95,Andaman and Nicobar,2005,Others Causes,45-59,7
96,Andaman and Nicobar,2005,Others Causes,60+,3
97,Andaman and Nicobar,2005,Pressures of Society,15-29,3
98,Andaman and Nicobar,2005,Relation Troubles,0-14,1
99,Andaman and Nicobar,2005,Relation Troubles,15-29,1
100,Andaman and Nicobar,2005,Relation Troubles,30-44,4
101,Andaman and Nicobar,2005,Relation Troubles,60+,1
102,Andaman and Nicobar,2005,Sickness,15-29,11
103,Andaman and Nicobar,2005,Sickness,30-44,11
104,Andaman and Nicobar,2005,Sickness,45-59,15
105,Andaman and Nicobar,2005,Sickness,60+,16
106,Andaman and Nicobar,2006,Financial issues,15-29,2
107,Andaman and Nicobar,2006,Others Causes,0-14,4
108,Andaman and Nicobar,2006,Others Causes,15-29,26
109,Andaman and Nicobar,2006,Others Causes,30-44,25
110,Andaman and Nicobar,2006,Others Causes,45-59,8
111,Andaman and Nicobar,2006,Others Causes,60+,1
112,Andaman and Nicobar,2006,Relation Troubles,0-14,1
113,Andaman and Nicobar,2006,Relation Troubles,15-29,2
114,Andaman and Nicobar,2006,Relation Troubles,30-44,1
115,Andaman and Nicobar,2006,Relation Troubles,45-59,1
116,Andaman and Nicobar,2006,Sickness,15-29,12
117,Andaman and Nicobar,2006,Sickness,30-44,18
118,Andaman and Nicobar,2006,Sickness,45-59,19
119,Andaman and Nicobar,2006,Sickness,60+,13
120,Andaman and Nicobar,2007,Causes Not known,15-29,3
121,Andaman and Nicobar,2007,Causes Not known,30-44,1
122,Andaman and Nicobar,2007,Financial issues,15-29,4
123,Andaman and Nicobar,2007,Financial issues,30-44,1
124,Andaman and Nicobar,2007,Financial issues,45-59,1
125,Andaman and Nicobar,2007,Others Causes,0-14,3
126,Andaman and Nicobar,2007,Others Causes,15-29,29
127,Andaman and Nicobar,2007,Others Causes,30-44,18
128,Andaman and Nicobar,2007,Others Causes,45-59,16
129,Andaman and Nicobar,2007,Others Causes,60+,4
130,Andaman and Nicobar,2007,Pressures of Society,0-14,2
131,Andaman and Nicobar,2007,Pressures of Society,15-29,9
132,Andaman and Nicobar,2007,Relation Troubles,0-14,1
133,Andaman and Nicobar,2007,Relation Troubles,15-29,8
134,Andaman and Nicobar,2007,Relation Troubles,30-44,3
135,Andaman and Nicobar,2007,Relation Troubles,45-59,2
136,Andaman and Nicobar,2007,Relation Troubles,60+,2
137,Andaman and Nicobar,2007,Sickness,15-29,13
